,OPEC_Production_Mbpd
2015-01-01,32.03305329204589
2015-02-01,31.91192317688506
2015-03-01,31.90660363383574
2015-04-01,32.010957174896696
2015-05-01,31.807630542666537
2015-06-01,31.644282429054037
2015-07-01,32.20945722138249
2015-08-01,32.03337412910298
2015-09-01,32.13311246668461
2015-10-01,31.96069624636562
2015-11-01,32.30873582216017
2015-12-01,31.734919884102204
2016-01-01,32.84004091389717
2016-02-01,32.452954801464095
2016-03-01,32.38650949748274
2016-04-01,32.36162539653101
2016-05-01,32.766380265690046
2016-06-01,32.92640349292801
2016-07-01,32.58111197389082
2016-08-01,32.69745252037138
2016-09-01,32.606999390509614
2016-10-01,32.39228915199506
2016-11-01,32.94959879926732
2016-12-01,32.08428926617217
2017-01-01,31.778501396754695
2017-02-01,31.75257577206198
2017-03-01,31.392649205585936
2017-04-01,31.603320909738034
2017-05-01,31.937582639082137
2017-06-01,31.568243672266625
2017-07-01,31.802023851038808
2017-08-01,32.06395707444595
2017-09-01,31.92123865967243
2017-10-01,31.75955980062956
2017-11-01,31.81508375079438
2017-12-01,31.890712761531912
2018-01-01,32.28929619271381
2018-02-01,32.446396777696464
2018-03-01,32.716169819355116
2018-04-01,32.76143600245152
2018-05-01,32.62527768837484
2018-06-01,32.823870997519606
2018-07-01,32.976116181009345
2018-08-01,32.61985289297023
2018-09-01,32.57902871737979
2018-10-01,32.862234475339896
2018-11-01,32.725654547666004
2018-12-01,32.89223197200505
2019-01-01,32.608500734818094
2019-02-01,31.98693912730648
2019-03-01,31.997435967379964
2019-04-01,32.120182863869424
2019-05-01,32.06776798774209
2019-06-01,32.24717697479153
2019-07-01,31.946929389618372
2019-08-01,32.33782709843471
2019-09-01,32.02549990620449
2019-10-01,32.17745797928054
2019-11-01,32.20240196179547
2019-12-01,31.69048099064242
2020-01-01,31.926033874207754
2020-02-01,32.07225028002702
2020-03-01,31.828260636248256
2020-04-01,23.46754210547911
2020-05-01,24.656507932039823
2020-06-01,24.957973377208784
2020-07-01,26.205646055445683
2020-08-01,26.752582290942374
2020-09-01,27.679545943179985
2020-10-01,28.33754011886307
2020-11-01,29.05108545526023
2020-12-01,29.639244057908563
2021-01-01,30.42657308086134
2021-02-01,30.357646878987765
2021-03-01,30.242064587691623
2021-04-01,30.408762119174824
2021-05-01,30.801790443299467
2021-06-01,30.676457895728955
2021-07-01,31.22863230684371
2021-08-01,31.59495774350377
2021-09-01,30.9705887568409
2021-10-01,31.632001127649286
2021-11-01,31.814935637910708
2021-12-01,31.66922297848437
2022-01-01,32.79795236697145
2022-02-01,32.70273360603384
2022-03-01,32.35482569283278
2022-04-01,32.8144493943759
2022-05-01,32.775095692234686
2022-06-01,32.64940654766993
2022-07-01,32.502345853095356
2022-08-01,32.70195232655768
2022-09-01,32.596530373614996
2022-10-01,30.65320840230131
2022-11-01,30.495174168894366
2022-12-01,30.77332161178677
2023-01-01,29.96731097876352
2023-02-01,30.32083712280037
2023-03-01,29.78597756079098
2023-04-01,30.02529310638666
2023-05-01,29.82724777849552
2023-06-01,29.73965208218604
2023-07-01,29.796505381014804
2023-08-01,29.71615592259687
2023-09-01,29.84052099842937
2023-10-01,29.547934363561943
2023-11-01,29.85497123379167
2023-12-01,29.57442976124734
2024-01-01,30.467319860689663
2024-02-01,30.348214720459502
2024-03-01,30.366959114452015
2024-04-01,30.678783668976465
2024-05-01,31.081480394676458
2024-06-01,30.625668275661102
2024-07-01,30.971484136998274
2024-08-01,30.655535392591496
2024-09-01,30.49941724266786
2024-10-01,30.33484712930111
2024-11-01,31.023707455278903
2024-12-01,30.559034252112863
2025-01-01,30.84244956265777
2025-02-01,30.687063209631596
2025-03-01,30.906113515791883
2025-04-01,30.925859578878566
2025-05-01,30.82267680963707
2025-06-01,30.474656490743786
2025-07-01,30.67370410556667
2025-08-01,30.215307744224614
2025-09-01,31.091849196001004
2025-10-01,30.392395490916723
2025-11-01,30.67515357792972
2025-12-01,30.635846751243854
2026-01-01,30.62834337234779
2026-02-01,30.97100051529634
2026-03-01,30.697694947904097
2026-04-01,30.75846761940829
2026-05-01,30.94870034127815
2026-06-01,30.621786220890087
2026-07-01,30.87873906422253
2026-08-01,30.75894275464367
2026-09-01,30.89407248857258
